FIPS,Births_2018
1001,655
1003,2254
1005,261
1007,250
1009,681
1011,115
1013,221
1015,1293
1017,357
1019,219
1021,526
1023,134
1025,267
1027,128
1029,167
1031,652
1033,610
1035,126
1037,90
1039,426
1041,141
1043,977
1045,651
1047,460
1049,817
1051,896
1053,435
1055,1175
1057,167
1059,426
1061,272
1063,99
1065,186
1067,182
1069,1272
1071,570
1073,8412
1075,135
1077,866
1079,358
1081,1865
1083,995
1085,119
1087,172
1089,4149
1091,230
1093,287
1095,1363
1097,5337
1099,204
1101,3047
1103,1410
1105,107
1107,214
1109,344
1111,248
1113,755
1115,1019
1117,2282
1119,128
1121,833
1123,409
1125,2488
1127,745
1129,160
1131,135
1133,242
2013,19
2016,31
2020,4252
2050,435
2060,6
2068,28
2070,103
2090,1580
2100,16
2105,18
2110,331
2122,702
2130,160
2150,207
2158,249
2164,38
2170,1495
2180,210
2185,156
2188,166
2195,22
2198,74
2220,88
2230,11
2240,92
2261,113
2275,22
2282,4
2290,65
4001,972
4003,1395
4005,1567
4007,567
4009,527
4011,147
4012,208
4013,53688
4015,1754
4017,1484
4019,11251
4021,4539
4023,640
4025,1830
4027,2981
5001,236
5003,239
5005,345
5007,3685
5009,479
5011,122
5013,49
5015,327
5017,121
5019,224
5021,183
5023,219
5025,84
5027,256
5029,216
5031,1446
5033,703
5035,700
5037,212
5039,76
5041,150
5043,221
5045,1513
5047,178
5049,92
5051,1070
5053,181
5055,570
5057,315
5059,344
5061,168
5063,456
5065,115
5067,203
5069,851
5071,357
5073,78
5075,190
5077,82
5079,104
5081,156
5083,274
5085,936
5087,243
5089,170
5091,568
5093,587
5095,86
5097,84
5099,104
5101,72
5103,235
5105,115
5107,279
5109,106
5111,329
5113,237
5115,800
5117,76
5119,5112
5121,226
5123,308
5125,1318
5127,110
5129,92
5131,1687
5133,280
5135,180
5137,118
5139,480
5141,143
5143,3255
5145,901
5147,82
5149,282
6001,19132
6003,8
6005,296
6007,2480
6009,382
6011,314
6013,12081
6015,308
6017,1607
6019,14814
6021,365
6023,1444
6025,2851
6027,175
6029,13415
6031,2225
6033,736
6035,298
6037,119254
6039,2336
6041,2129
6043,147
6045,1007
6047,4042
6049,98
6051,128
6053,6006
6055,1356
6057,758
6059,37050
6061,3682
6063,160
6065,30318
6067,19277
6069,787
6071,30402
6073,41635
6075,8953
6077,10202
6079,2518
6081,8774
6083,5353
6085,22347
6087,2709
6089,1995
6091,32
6093,456
6095,5155
6097,4789
6099,7717
6101,1342
6103,774
6105,103
6107,6970
6109,447
6111,9370
6113,2394
6115,1242
8001,6894
8003,206
8005,7870
8007,137
8009,39
8011,36
8013,2663
8014,698
8015,142
8017,23
8019,71
8021,90
8023,34
8025,23
8027,31
8029,294
8031,9619
8033,12
8035,3541
8037,622
8039,220
8041,9651
8043,376
8045,816
8047,45
8049,130
8051,145
8053,2
8055,46
8057,13
8059,6018
8061,18
8063,86
8065,77
8067,524
8069,3395
8071,131
8073,57
8075,231
8077,1695
8079,6
8081,169
8083,262
8085,441
8087,420
8089,211
8091,27
8093,115
8095,52
8097,148
8099,178
8101,1831
8103,67
8105,119
8107,234
8109,74
